City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,albany,US,42.6,-73.97,1602861190,53.01,89,100,2.73
1,bluff,NZ,-46.6,168.33,1602861006,42.01,85,23,1.01
2,rikitea,PF,-23.12,-134.97,1602861191,73.26,80,99,18.37
3,kapaa,US,22.08,-159.32,1602861191,75.2,94,75,8.05
4,petropavlovsk-kamchatskiy,RU,53.05,158.65,1602860976,32,81,40,2.24
5,te anau,NZ,-45.42,167.72,1602861006,38.68,90,99,3.58
6,tuktoyaktuk,CA,69.45,-133.04,1602861191,21.2,85,90,23.04
7,busselton,AU,-33.65,115.33,1602861191,55.99,51,0,12.66
8,salmon creek,US,45.71,-122.65,1602861192,48.99,87,75,3.36
9,paka,MY,4.64,103.44,1602861192,82.4,88,97,2.24
10,cape town,ZA,-33.93,18.42,1602860931,78.8,27,0,12.75
11,mataura,NZ,-46.19,168.86,1602861192,42.01,85,41,1.01
12,lebu,CL,-37.62,-73.65,1602861192,59.23,68,0,5.3
13,ushuaia,AR,-54.8,-68.3,1602861005,46.4,63,40,18.34
14,sitka,US,57.05,-135.33,1602861193,48.2,70,75,9.17
15,barrow,US,71.29,-156.79,1602861193,15.8,78,1,19.46
16,soyo,AO,-6.13,12.37,1602861193,84.2,70,40,8.05
17,atambua,ID,-9.11,124.89,1602861193,74.73,78,95,1.66
18,hermanus,ZA,-34.42,19.23,1602861193,82,55,0,3
19,champerico,GT,14.3,-91.92,1602861193,77,78,40,3.78
20,sao filipe,CV,14.9,-24.5,1602861193,82.45,73,99,6.55
21,kailua,US,21.4,-157.74,1602861194,77,94,75,5.82
22,nurma,RU,59.55,31.02,1602861194,41,65,75,6.71
23,pirovskoye,RU,57.63,92.27,1602861194,29.79,94,100,6.64
24,puerto ayora,EC,-0.74,-90.35,1602861194,71.01,87,87,5.99
25,kaitangata,NZ,-46.28,169.85,1602861194,44.01,83,42,3
26,nome,US,64.5,-165.41,1602860994,37.4,93,90,24.16
27,smithers,CA,54.78,-127.17,1602860999,33.8,84,75,6.93
28,pisco,PE,-13.7,-76.22,1602860960,66.2,77,20,5.82
29,general roca,AR,-39.03,-67.58,1602861195,75.2,47,0,3.36
30,tuatapere,NZ,-46.13,167.68,1602861005,42.01,85,87,1.01
31,adrar,MR,20.5,-10.07,1602861195,98.4,10,0,9.71
32,bosaso,SO,11.28,49.18,1602860919,84.2,83,0,9.17
33,ostrovnoy,RU,68.05,39.51,1602861195,36.36,79,100,20.89
34,kodiak,US,57.79,-152.41,1602861196,30.2,80,1,8.05
35,bredasdorp,ZA,-34.53,20.04,1602861196,69.8,68,0,14.99
36,hithadhoo,MV,-0.6,73.08,1602861196,83.86,74,81,20.69
37,isangel,VU,-19.55,169.27,1602861196,69.76,81,100,9.84
